player,stat,mu,sigma
Devin Vassell,PTS,17.30,6.63
Devin Vassell,REB,4.40,1.69
Devin Vassell,AST,2.40,1.11
Devin Vassell,PRA,24.10,7.96
Keldon Johnson,PTS,14.10,7.12
Keldon Johnson,REB,6.30,2.10
Keldon Johnson,AST,2.00,1.26
Keldon Johnson,PRA,22.40,7.77
Scottie Barnes,PTS,16.90,8.50
Scottie Barnes,REB,7.10,2.91
Scottie Barnes,AST,5.40,1.56
Scottie Barnes,PRA,29.40,11.44
Pascal Siakam,PTS,16.10,5.49
Pascal Siakam,REB,5.80,2.52
Pascal Siakam,AST,3.50,1.86
Pascal Siakam,PRA,25.40,6.30
OG Anunoby,PTS,25.60,6.73
OG Anunoby,REB,5.20,1.60
OG Anunoby,AST,2.60,1.69
OG Anunoby,PRA,33.40,6.18
Lauri Markkanen,PTS,17.90,6.53
Lauri Markkanen,REB,4.90,2.47
Lauri Markkanen,AST,0.70,0.64
Lauri Markkanen,PRA,23.50,7.43
Jordan Clarkson,PTS,15.10,5.96
Jordan Clarkson,REB,3.20,2.27
Jordan Clarkson,AST,3.60,1.62
Jordan Clarkson,PRA,21.90,7.54
Collin Sexton,PTS,20.10,5.97
Collin Sexton,REB,1.80,1.60
Collin Sexton,AST,4.00,1.34
Collin Sexton,PRA,25.90,7.35
Kyle Kuzma,PTS,15.80,5.21
Kyle Kuzma,REB,3.50,1.43
Kyle Kuzma,AST,2.20,1.47
Kyle Kuzma,PRA,21.50,6.38
Jordan Poole,PTS,20.60,6.05
Jordan Poole,REB,1.80,0.87
Jordan Poole,AST,3.40,1.62
Jordan Poole,PRA,25.80,6.43
